geo,iso3,year,learning,learning_percentile,ef_percentile,gap_pct
IT,ITA,2016,95.56,0.7241379310344828,0.27586206896551724,-0.4482758620689655
LI,LIE,2016,100.0,0.9655172413793104,,
LT,LTU,2016,85.14,0.4827586206896552,0.41379310344827586,-0.06896551724137934
LU,LUX,2016,56.839999999999996,0.034482758620689655,0.7931034482758621,0.7586206896551725
LV,LVA,2016,94.6,0.6896551724137931,0.3103448275862069,-0.37931034482758624
MK,MKD,2016,100.0,0.9655172413793104,,
MT,MLT,2016,100.0,0.9655172413793104,,
NL,NLD,2016,74.64,0.3103448275862069,1.0,0.6896551724137931
NO,NOR,2016,66.22,0.13793103448275862,0.896551724137931,0.7586206896551724
PL,POL,2016,94.53999999999999,0.6551724137931034,0.6551724137931034,0.0
PT,PRT,2016,72.44,0.27586206896551724,0.8620689655172413,0.5862068965517241
RO,ROU,2016,96.8,0.7931034482758621,0.6206896551724138,-0.1724137931034483
SK,SVK,2016,91.72,0.5862068965517241,0.4482758620689655,-0.13793103448275856
SI,SVN,2016,84.2,0.3793103448275862,,
SE,SWE,2016,97.52000000000001,0.8620689655172413,,
AT,AUT,2017,99.53999999999999,0.9,0.967741935483871,0.06774193548387097
BE,BEL,2017,56.279999999999994,0.03333333333333333,,
BG,BGR,2017,85.32000000000001,0.43333333333333335,0.4838709677419355,0.05053763440860215
CY,CYP,2017,97.92,0.8333333333333334,,
CZ,CZE,2017,91.24000000000001,0.4666666666666667,0.3548387096774194,-0.1118279569892473
DE,DEU,2017,72.75999999999999,0.23333333333333334,0.7741935483870968,0.5408602150537634
DK,DNK,2017,68.17999999999999,0.2,0.9354838709677419,0.7354838709677418
ES,ESP,2017,85.06,0.4,0.2903225806451613,-0.10967741935483871
EE,EST,2017,74.16,0.26666666666666666,0.5161290322580645,0.24946236559139784
FI,FIN,2017,92.6,0.6,,
FR,FRA,2017,97.44,0.7666666666666667,0.3225806451612903,-0.4440860215053764
HR,HRV,2017,93.53999999999999,0.6666666666666666,0.8064516129032258,0.13978494623655913
HU,HUN,2017,67.58,0.16666666666666666,0.6129032258064516,0.446236559139785
IS,ISL,2017,66.78,0.13333333333333333,,
IT,ITA,2017,96.02000000000001,0.7,0.25806451612903225,-0.4419354838709677
LI,LIE,2017,100.0,0.9833333333333333,,
LT,LTU,2017,83.9,0.36666666666666664,0.45161290322580644,0.0849462365591398
LU,LUX,2017,57.14,0.06666666666666667,0.7419354838709677,0.6752688172043011
LV,LVA,2017,92.7,0.6333333333333333,0.3870967741935484,-0.24623655913978493
MK,MKD,2017,99.8,0.9333333333333333,,
MT,MLT,2017,100.0,0.9833333333333333,,
NL,NLD,2017,75.9,0.3333333333333333,1.0,0.6666666666666667
NO,NOR,2017,64.96000000000001,0.1,0.9032258064516129,0.8032258064516129
PL,POL,2017,91.6,0.5,0.6451612903225806,0.14516129032258063
PT,PRT,2017,75.22,0.3,0.8709677419354839,0.5709677419354839
RO,ROU,2017,96.88,0.7333333333333333,0.6774193548387096,-0.05591397849462365
RS,SRB,2017,98.65,0.8666666666666667,0.7096774193548387,-0.15698924731182795
SK,SVK,2017,92.08,0.5666666666666667,0.5483870967741935,-0.018279569892473146
SI,SVN,2017,92.02,0.5333333333333333,,
SE,SWE,2017,97.88,0.8,0.8387096774193549,0.03870967741935483
AT,AUT,2018,99.42,0.8620689655172413,0.9666666666666667,0.10459770114942535
BE,BEL,2018,58.660000000000004,0.06896551724137931,,
BG,BGR,2018,85.17999999999999,0.4482758620689655,0.5333333333333333,0.0850574712643678
CY,CYP,2018,99.72,0.896551724137931,,
CZ,CZE,2018,91.66,0.4827586206896552,0.5,0.017241379310344807
DE,DEU,2018,72.38,0.2413793103448276,0.8333333333333334,0.5919540229885057
DK,DNK,2018,67.96000000000001,0.1724137931034483,0.9333333333333333,0.7609195402298851
ES,ESP,2018,83.88,0.41379310344827586,0.3,-0.11379310344827587
EE,EST,2018,73.66,0.27586206896551724,0.43333333333333335,0.1574712643678161
FI,FIN,2018,92.88,0.5862068965517241,0.8666666666666667,0.2804597701149426
